,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
265,11480390,0.7888413792559866,0.08333205449736844,0.7071744116126681,0.0,0.10727690155955784,11.082465171813965,8.099376750353311,974,0,2079,839,1087,324,-10.881743016187723,-5.075161139334444
266,11482500,0.8823113827043241,0.007648394351704231,0.8998577200001464,0.03172851353883743,0.17751784118071753,13.987838745117188,13.16360392401465,0,0,1613,840,477,298,-6.75296100618051,-4.759130438720377
267,01139000,0.7230260878672179,-0.0831901978623179,0.9579819287510992,0.28715912699699436,0.5292923583430463,5.352300310134872,5.401398465741382,0,0,144,0,53,33,-2.333661340377595,-1.9116784945230774
268,01187300,0.7003363431102164,-0.0008602239729801901,0.6910876806297406,0.061735764145851135,0.4020664994048389,7.408291339874268,6.2564140658492615,0,0,857,7,176,51,-3.1696016823717805,-2.174375600533909
269,01415000,0.7098154853735199,-0.01982405120774078,0.8430087081182481,0.11385928094387054,0.4819014378990942,5.920682907104492,5.639967454832518,0,0,643,0,91,45,-2.7766386343150073,-1.8659708205895902
270,01666500,0.7676007740085473,-0.03719327232618298,0.8068272754188541,0.12142869830131531,0.15596806734568555,3.1624257564544678,3.5350689915916336,0,0,393,251,60,76,-2.5239671548884917,-2.593526946035152
271,02017500,0.758396003145455,0.05901104824647235,0.7068013804416506,0.08550290018320084,0.16803623631322087,3.9880352020263623,3.0832263838437117,0,0,541,166,191,75,-4.22989032694194,-2.463536094262592
272,02070000,0.5973020264998131,-0.0845517722145085,1.0554318367208924,0.28000950813293457,0.15265530743137842,2.364330124855032,3.2296238511645976,0,0,60,213,54,70,-1.5665474849069074,-2.502156875510508
273,02108000,-0.024609373182261418,0.0653319593771556,1.0025172763215668,0.045595036447048244,0.1986460315034336,4.117752552032471,2.863435617364625,0,0,893,114,134,74,-3.2897654198675306,-1.932532477289054
274,02112120,0.699324669028125,0.03872915063686752,1.0866303031807156,0.3027055859565735,0.1926540929489849,2.7324716329574543,3.069635773381882,0,0,58,113,38,55,-1.8272609547906333,-2.327043657324087
275,02196000,0.6250802746504375,-0.5166501714951293,0.6687394925784637,0.005028611049056053,0.06710984773323977,1.768683910369873,2.365791341654106,0,0,1091,371,498,137,-4.619529299392829,-3.076618224297326
276,02221525,0.7296453009509483,-0.24128392392088227,1.0362356256575043,0.032827429473400116,0.08479662277224503,2.4471356868743896,3.1188326708768415,0,0,730,310,194,169,-2.6693599346057546,-2.993463872747217
277,02245500,0.5565945022780021,-0.05885447872526443,1.0576448346215315,0.07757725566625595,0.11609125744898441,3.19618299007415,2.768991978710603,0,0,173,138,272,154,-2.738521163439427,-2.4833945148702914
278,03364500,0.6720576110638907,-0.07989799933950448,0.6749809426477418,0.0009202172164805268,0.17293038779852365,4.725160121917725,3.9997931173405723,230,0,1368,246,321,105,-4.240504521035425,-2.2674376999975547
279,03384450,0.4680660161661938,0.16238009763727154,0.46817062342582016,0.0,0.118106383323185,5.441093444824219,3.420283211524895,298,0,1649,298,602,121,-6.4445286669719035,-2.887356668943527
280,03455500,0.6245287821256795,0.15364138657306056,0.7007551150589288,0.6163252592086792,0.5495426850788102,8.049892711639385,6.443225004257992,0,0,67,103,46,30,-1.9005734077360354,-1.96987536388603
281,03456500,0.6853187070116411,0.21632978265893046,0.6281846859692138,0.42205315828323364,0.3641902579808971,6.3711674690246385,4.93228402560426,0,0,143,106,50,28,-2.0057413917141034,-2.2360386912781784
282,05291000,0.34436487155488604,0.22097400516326024,0.33069044944696097,0.009972699917852879,0.01359562608282798,0.8146745979785907,0.5865333672708807,0,0,333,408,457,136,-2.8167756822392893,-2.6643330283332656
283,05414000,0.05443942394314305,-0.004352067897609812,1.4002828114095414,0.29948198795318604,0.16374800844356163,1.8634434938430786,2.077404611115055,0,0,0,103,29,66,-1.3737004831615052,-1.8605666044735867
284,05584500,0.5586260119714831,0.031012203673437384,0.79990319346897,0.01587076671421528,0.07000804498690509,3.448284864425659,2.648854363407793,0,0,1135,379,463,157,-4.5066450341470565,-2.58235646964383
285,08014500,-0.011413467702903413,-0.2831272964720885,1.3568781422336798,0.22050748765468597,0.11260216686458284,4.24337911605835,5.302185252263452,0,0,0,495,204,191,-2.2431763063867645,-3.199418234826761
286,06350000,0.10100833566710032,0.06621227828529931,0.15675707108197626,0.0015316036297008395,0.007829591514027281,0.12220241874456406,0.1436528956664968,0,0,285,187,417,70,-1.8758763891097687,-2.172393748310659
287,06404000,0.3205637033006993,0.38290054027275144,0.24714765869484165,0.00016126826812978834,0.026712128710798293,0.5483121275901794,0.2504014833056926,271,0,1148,8,343,42,-4.149961484201441,-1.7799813153231832
288,06470800,0.25881374677178914,0.19780865102504758,0.37062154113727497,0.0009265020489692688,0.023538154357632343,1.1395975351333618,0.7893854284332134,120,0,1501,265,1166,191,-7.645409654249427,-2.6311159964149677
